Date,Adj Close (TSLA),Adj Close (SEDG),Close (TSLA),Close (SEDG) ,High (TSLA),High (SEDG),Low (TSLA),Low (SEDG),Open (TSLA),Open (SEDG),Volume (TSLA),Volume (SEDG)
11/12/2019,69.98600006,80.75,69.98600006,80.75,70.0739975,82.66999817,68.80799866,79.84999847,69.37999725,81.30999756,36797000,904500
11/13/2019,69.22200012,77.27999878,69.22200012,77.27999878,71.26599884,80.69999695,69.03600311,77.16000366,71,80.58000183,42100500,1366500
11/14/2019,69.87000275,78.23999786,69.87000275,78.23999786,70.76799774,78.84999847,68.58200073,76.33000183,69.22200012,77.38999939,32324500,1494500
11/15/2019,70.43399811,78.95999908,70.43399811,78.95999908,70.55999756,81,69.67199707,78.45999908,70.12799835,78.45999908,24045000,822200
11/18/2019,69.9980011,76.79000092,69.9980011,76.79000092,70.62999725,78.80000305,69.22000122,76.46099854,70.58399963,78.80000305,22002000,903000
11/19/2019,71.90399933,79.01999664,71.90399933,79.01999664,71.9980011,79.14499664,69.55999756,75.26000214,70.34999847,77.5,38624000,1014600
11/20/2019,70.44400024,78.30999756,70.44400024,78.30999756,72.23999786,80.06999969,69.91400146,77.60600281,72,79,33625500,845800
11/21/2019,70.96600342,76.98000336,70.96600342,76.98000336,72.16799927,79.23999786,70.80000305,76.41000366,70.90200043,78.36000061,30550000,1018900
11/22/2019,66.60800171,76.37000275,66.60800171,76.37000275,68.19999695,77.76000214,66,74.06999969,68.03199768,77.55000305,84353000,1232800
11/25/2019,67.26799774,80.16000366,67.26799774,80.16000366,68.91400146,81.19999695,66.89199829,76.79599762,68.86399841,77,61697500,1348700
11/26/2019,65.78399658,78.91000366,65.78399658,78.91000366,67.09999847,81,65.41999817,78.43000031,67.05400085,80.44000244,39737000,998600
11/27/2019,66.25800323,82.38999939,66.25800323,82.38999939,66.78600311,83.34999847,65.71399689,79.18000031,66.22399902,79.70999908,27778000,816900
11/29/2019,65.98799896,81.61000061,65.98799896,81.61000061,66.2519989,82.88999939,65.5,80.02999878,66.22200012,82.5,12328000,467400
12/2/2019,66.97399902,81.72000122,66.97399902,81.72000122,67.27600098,83.40000153,65.73799896,80.16999817,65.87999725,83,30372500,731800
